Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
46,,-0.00550502187825197,-0.00933617598328241,-0.0058853686612065,-0.0164211423553113,-0.0136036973727538,-0.00336293135854194,0.00782534876351171,-0.0121494019954989,-0.00577515306084955,0.0239913872913907,-0.0236619283887675,-0.0187420178028647,-0.0105580889071562,-0.0181334836627315,-0.0186373794300854,0.00772515423752721,-0.0523043893146751
47,,-0.0039007406785684,-0.00890854310705692,-0.00335194707267741,-0.0134184560811392,-0.0108788761822497,-0.00414579316386165,0.0089449079717705,-0.0116408026639303,-0.00428680626502127,0.0268936366156855,-0.0214433266760251,-0.0179984210640676,-0.00807687868068658,-0.0171110226820534,-0.0168152097332851,0.00772515423752721,-0.053592841332117
48,,-0.00466569595258975,-0.00959275570901769,-0.00253203972220803,-0.0155601570437207,-0.0109891928296386,-0.0054550620451723,0.00874135175208702,-0.0108967406788578,-0.00238502980368528,0.033006195248418,-0.0218130936281488,-0.0179501355615483,-0.00713833394284798,-0.0166873001134839,-0.0169083888655078,0.0104321277782887,-0.0575578566565096
49,,-0.00376262375409227,-0.0078822242041159,-0.00287290008139199,-0.0138489487369345,-0.00955507641358378,-0.00357889323587142,0.0101754978453112,-0.0107554630867554,-0.00139279860646643,0.0337520246837117,-0.0210194474870052,-0.0169651113101547,-0.00626451642830859,-0.0172584044450339,-0.0175088766064988,0.011300186804018,-0.058575804935483
50,,-0.00259394208544859,-0.00789172715692082,-0.00237542820582627,-0.0144193515058633,-0.0100294379973557,-0.00286351951721714,0.0130345374763192,-0.00896594692012505,-0.00133767465106538,0.0388512281054474,-0.0196035106215558,-0.0145025506816705,-0.00418245741218399,-0.0166504546727387,-0.0168359162071123,0.0130934140019063,-0.0597218865642572
51,,0.000816483511229782,-0.00524990627712803,0.00404564396582735,-0.00921039037074015,-0.00552851878389129,0.0011857656827129,0.0197148825041117,-0.00562237724036835,-0.00116311545896215,0.0387458391635037,-0.018530284589782,-0.0123200459677983,-0.00210039839605938,-0.014531841829892,-0.0133365221303028,0.0149209066876525,-0.0537636857985181
52,,-0.000277827505773035,-0.00454668776955729,0.00339156057387987,-0.00999603946756663,-0.00737080679528481,0.000254430086728947,0.0171149144254279,-0.0056694697710691,-0.00199916211587795,0.0428154736908666,-0.0187106587127691,-0.0138265536464004,-0.00226221645430741,-0.0138409898159202,-0.0156245874882168,0.0159374494940987,-0.0590100346209192
53,,0.00212328210434944,-0.00415706670455176,0.00247952880200938,-0.0112229435365833,-0.00625660865665762,0.000159946765397369,0.0194095481745865,-0.00534924056230375,0.00480864637615113,0.0536543210276882,-0.0177907506855344,-0.0131795279126417,-0.00114027791712109,-0.0126250902713298,-0.0152932839069803,0.0190441870598669,-0.0614730423448688
54,,0.00529997136729917,0.000128765010507843,0.00502216283267849,-0.0104588190725466,-0.00431503566261414,0.00323740351734416,0.0259973676479774,-0.000508128406261615,0.00625105654247844,0.0598965891274284,-0.0143997171733751,-0.00964502912822927,0.00386529401801805,-0.0101011775802862,-0.0127360343893117,0.0231332019442238,-0.0598571384334915
55,,0.00482187432103582,-0.00155325763597905,0.00633032961657358,-0.0100929003151206,-0.00406130737361987,0.00115877044804676,0.0254144566552475,-0.00219404100535021,0.00776696531600724,0.0654984167338183,-0.0163657951139356,-0.00902697469598235,0.0020960832478396,-0.00989852765618786,-0.0147963285351256,0.018667266693432,-0.0604337385075952
