Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean(background)
55,,-0.0145869168218638,-0.0154253374255726,-0.0244539350032726,-0.0244121132377191,-0.0212333038797211,-0.00959754486584375,-0.0102724631545817,0.00567444853129744,-0.012759797171428,-0.0280597658217314,-0.0193711043327371,-0.027744653777019,-0.0267859157085541,-0.0151778620289514,-0.0104712926865377
56,,-0.0176237406673131,-0.0176271854530363,-0.023209625234939,-0.0239401038525699,-0.0192743248922004,-0.00961695893286243,-0.00883099668062501,0.00768862771462471,-0.0120878049314601,-0.0253912381207864,-0.018542863601902,-0.0253791221558446,-0.0278490207643314,-0.0150880623866984,-0.0114586845313185
57,,-0.0144519407309205,-0.0154364627755129,-0.0224824668060018,-0.0238733654537969,-0.0219998077489865,-0.0100691356125802,-0.00945801840862767,0.00611913508084324,-0.0130926195771293,-0.0255988001030498,-0.0198780008818428,-0.0253678268580839,-0.0268766035771636,-0.0147167311244041,-0.00901620416186897
58,,-0.0200709078697335,-0.0178440414804434,-0.0240515821260662,-0.0267478542034177,-0.0245757495075506,-0.0129346816578919,-0.0127318956267114,0.00382852666669659,-0.0174637428512034,-0.0288712427571236,-0.0223240402746014,-0.0271299858931452,-0.0276286072028766,-0.0163215233505039,-0.0132626988230514
59,,-0.0207209121848224,-0.0169961308814245,-0.0234855069504403,-0.0275319273976442,-0.0238527638837137,-0.0118703296081991,-0.012134642141963,0.0048091641353189,-0.0172653857085332,-0.0274188985460027,-0.0209166295882055,-0.0249569372559403,-0.0285189698864101,-0.0165670111299173,-0.0117092621888613
60,,-0.0223618160617512,-0.0200097762688154,-0.0273938312533758,-0.030773168366448,-0.0258836466676768,-0.0115051815047718,-0.0113501455078026,0.00439820177013152,-0.0174733475128484,-0.0281439895995722,-0.0182306317656093,-0.0305324628825058,-0.0312721124406453,-0.0164592338472528,-0.0161859117042841
61,,-0.021459641397917,-0.0191729027233086,-0.0271783430701494,-0.0301755095268189,-0.0271480255823744,-0.0113744154901406,-0.0129354168789302,0.00516731315519025,-0.0180301673318723,-0.0256172762643498,-0.0215819201418167,-0.0286400375855662,-0.0293142904824771,-0.0187495675237272,-0.012039648106119
62,,-0.0198862716333851,-0.0166263454405528,-0.0236981530850891,-0.0289337427459454,-0.0245549772996894,-0.0115100908090754,-0.0128404462901794,0.00561436312466412,-0.0157517745520656,-0.0212909061965486,-0.019319021024995,-0.0303766433240543,-0.0262196420389171,-0.0155550382383746,-0.0115793383976383
63,,-0.0206320951529662,-0.0164373027879964,-0.0229653105589966,-0.0291443600692338,-0.0247593156702331,-0.0119510355956139,-0.0126585092626767,0.00759972676502207,-0.0175278017684362,-0.0241915652431878,-0.0222652567128616,-0.0303766433240543,-0.0280349759386241,-0.0164846505112829,-0.00950258553414029
64,,-0.0221025514065195,-0.0174769932288427,-0.0262788346953251,-0.0301572800567837,-0.0263909209021863,-0.0125114401202056,-0.013899152512504,0.00564563298832812,-0.017121315783857,-0.0257240055790931,-0.0212741551415225,-0.030453118044958,-0.0258653737839766,-0.0157032873519165,-0.0109724480016238
65,,-0.0201028783158478,-0.016937678646024,-0.0236636424952177,-0.029417905111118,-0.0256640816108278,-0.0130914818620119,-0.0109917574432457,0.00599650994688217,-0.0166413332579938,-0.0267512015254075,-0.0229305472664728,-0.0259174079032225,-0.0259085406088528,-0.0163035457100924,-0.011065147250657
66,,-0.0211506244634298,-0.0153502854616898,-0.0271783430701494,-0.030025554112292,-0.0277479758211877,-0.0099286253727403,-0.0118115982453787,0.00691706200887129,-0.0173069780693963,-0.0294649368550652,-0.0236320191916715,-0.0298270622789156,-0.0272094010287745,-0.0174547346150685,-0.0121510320475354
67,,-0.0207528826309366,-0.0140630118364584,-0.0252155025203464,-0.028907376958776,-0.0269227270201882,-0.0131996353234873,-0.0119120548245783,0.00898887227813733,-0.0171949793627349,-0.0315069457885251,-0.0224168611266495,-0.0322549957909971,-0.0220015300574919,-0.0170116699107378,-0.0105009854147438
68,,-0.0206072190133384,-0.0143744333383578,-0.0252098184231911,-0.0270497218682381,-0.0263776680455872,-0.00911464784252937,-0.010915762985391,0.0103492931490496,-0.0146541705230253,-0.0311495106893339,-0.0197648112576417,-0.0325240460802782,-0.0261591334113515,-0.0151359732411943,-0.00650130250411233
69,,-0.0198826784132166,-0.0144855985413324,-0.0271524601277459,-0.027590632470639,-0.0265574745326387,-0.00795478750911283,-0.00861929140986798,0.00851782450631663,-0.0153102106727827,-0.0310693162870958,-0.018757897086868,-0.0307591095129808,-0.0258090692297903,-0.014611964875109,-0.00721581093455156
70,,-0.0219960446753724,-0.0158589611839587,-0.0274742206274292,-0.0312370414344628,-0.0271934236656184,-0.00996261858587257,-0.0133072950839347,0.00725594006625219,-0.0171693390920824,-0.0319280646777289,-0.0209709463139468,-0.0314532148188103,-0.0232116275360652,-0.0177271445751967,-0.0115292228661297
71,,-0.0211364358504568,-0.0135904493532813,-0.0271207915864522,-0.028719005768412,-0.0262981509059921,-0.00646883035650173,-0.0120450676093913,0.00736174855841723,-0.0148205399664774,-0.032864845366618,-0.0200635532492189,-0.0288808496304458,-0.0266086689719754,-0.0154832162365334,-0.00886947863175849
