Time,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44
278,0.840609219692783,1.05664557231316,1.08685628835789,1.19454533496057,1.28891732884894,1.11899159457849,1.01059851386872,1.10063541290725,0.70353691487549,1.08816277468754,1.32596692254297,1.11993658285367,1.13090886948692,0.814270257926258,1.15615503454833,0.733675155573716,1.11644934300532,1.10795741539418,0.961893438465881,0.98427294172713,0.993199984685608,0.970885417296918,1.3320109364391,1.30438480411885,1.29815051648284,1.13828899248764,0.904883747194263,0.969025025414221,0.978022551517473,0.868671599645255,0.609740674398427,0.55007779411062,0.979831154340091,0.804687858850867,0.911307701937142,0.570432841983528,0.651161461243385,1.12858987340193,0.880322310320377,0.884592437389307,1.07381204235956,0.854364844197579,0.855742194154477,0.753045413990795
279,0.837463485925901,1.05367288529343,1.08127979064768,1.19089135248507,1.28300748062367,1.11565128609538,1.00375377570703,1.09234106049554,0.697013217789246,1.08575492164684,1.32411259711257,1.1195322227283,1.13134808395185,0.809693690231349,1.15983178154884,0.73247674594594,1.10856330386486,1.10758101177293,0.964273752906615,0.998025220956302,0.989605356633897,0.967545589854669,1.33074143542064,1.30131154055498,1.29534586748898,1.13281436094936,0.897869404407301,0.967253117545331,0.982343725373745,0.860065617817288,0.603280251645292,0.547727969185729,0.978943511186295,0.801964307426271,0.910050886080116,0.569478550648777,0.645419771358899,1.12083472808132,0.878084187455683,0.882572358747175,1.07048919318826,0.86239137315767,0.854925512930042,0.75761369272142
280,0.837989814921917,1.05399057703599,1.07755174096805,1.19036152502613,1.28457273753902,1.1194104100152,0.998511919266747,1.08977905319207,0.697183612862394,1.08988266971661,1.32737620987008,1.12217179576893,1.13154772689046,0.815922649507787,1.15761021146146,0.728292643366209,1.10759361312611,1.10753244356374,0.964237868769318,1.00602325703432,0.990594411097829,0.969113856653638,1.33552807860501,1.30463246638407,1.30037886773823,1.13073259977941,0.899272272964694,0.968144134073687,0.989785747015102,0.858333244851919,0.602969055944274,0.54790332925475,0.983506907400042,0.797511517001932,0.907597102740208,0.566218842624131,0.647497795750232,1.12284108605301,0.879930380970799,0.87848522288984,1.07305164113854,0.86612854081845,0.854083310417343,0.761513135063306
281,0.841955642705845,1.05369557756075,1.07319023437906,1.18880858247404,1.28204424559884,1.11922653982347,0.997872932634564,1.0857664116163,0.695759596893941,1.08353816805381,1.32372936985695,1.12029601407623,1.13028997637725,0.817825684756177,1.15202233211503,0.72932575511429,1.10246476692957,1.1085402339045,0.962132666047864,1.00987148253792,0.986659463230571,0.966403272062828,1.33230229732858,1.29791181309604,1.30152185825285,1.12599859481121,0.897957635134181,0.968832646845599,0.987687785795028,0.862949180559646,0.602508486306767,0.544483807908827,0.978067248072932,0.799002985639211,0.907517304908016,0.567456586830591,0.646805120953121,1.11944171270201,0.880889576484239,0.880986831905968,1.07680156496821,0.867883727740927,0.850637936501759,0.762711992741233
282,0.839862566930994,1.05026904519449,1.07859019491781,1.18498103583095,1.27957595584771,1.12368028446762,1.00023393408907,1.0946690945293,0.691877023441494,1.08776146584742,1.322715671955,1.12378923627043,1.13432276373706,0.817472927002817,1.15162458375877,0.731123369555953,1.09704384520932,1.10639109064771,0.962168550185162,0.995383335735961,0.984532464383404,0.965812751848401,1.33071021818248,1.30122148154944,1.30474912558824,1.12524795977397,0.901160410519926,0.969541409993156,0.989984061757298,0.857852651061526,0.60084047734931,0.54370345560168,0.977589286374734,0.797025168533254,0.908674373474802,0.564187430376889,0.654766708380155,1.11869322682657,0.879012441178366,0.883558908781705,1.08135355583923,0.874441027198495,0.855627348357291,0.766598815528614
283,0.833203893120941,1.04421020981838,1.07066679128114,1.17864137623596,1.2792147427134,1.1262851121838,1.00420864754689,1.09581556355094,0.690112217326745,1.08171316832852,1.32796959400781,1.12287942598834,1.12731529659205,0.811429629701832,1.1537297396931,0.733592506633869,1.09617930165911,1.10546829467304,0.960601609523172,0.984683097423438,0.979916876885053,0.965251273611733,1.33696407156032,1.30655747762737,1.30099358532592,1.11930293027902,0.901380987337126,0.96842763933271,0.988355793347688,0.854577907326988,0.601413077439183,0.542940639301436,0.972286187532825,0.791761797327785,0.901003806855332,0.55775305018911,0.652671993029856,1.11957685598508,0.874804357635532,0.878461733603304,1.07924943191258,0.867538606716844,0.8555507844925,0.763872991755645
284,0.837206441532499,1.04286001991246,1.07266062286468,1.17606531859073,1.28113117906489,1.13420174543887,1.00321226161196,1.10054182359936,0.693033275723571,1.08075767109014,1.33176478005537,1.13067459062749,1.13070922654832,0.814920074840342,1.16737929913829,0.744646802338345,1.0972074075026,1.11490266930878,0.96434552118121,0.986335783611505,0.984649449319999,0.967952177543291,1.34468513513162,1.31400986033537,1.31068499229442,1.11942303188497,0.906992461566695,0.973378856177782,0.981268650718682,0.855404975710455,0.606155699922699,0.539863070090104,0.972217907290225,0.794874427527323,0.9010736299585,0.560209641743915,0.65457476235204,1.12147925758518,0.876124540707793,0.880235174736802,1.08100981282151,0.866089098415697,0.86287539422415,0.769021769993476
285,0.837916373666659,1.04936135450144,1.08144594327965,1.1821035246315,1.28069973004335,1.13370120991694,1.00117616861449,1.09775754168965,0.690148730556705,1.0864237697137,1.32716605298797,1.12624909369979,1.13920403358593,0.821056203129054,1.16463386536218,0.747591170820378,1.09490585237568,1.10945088782686,0.959752351607131,0.978024099059839,0.983043565190388,0.971262963007781,1.34666222688168,1.30985588870508,1.31104998086211,1.1178116686717,0.90321618645623,0.972335961832092,0.996090068293335,0.85254376616765,0.607686782771708,0.53974908604524,0.974300454689516,0.792842571702625,0.904076023394729,0.561721390393026,0.651128079325452,1.12178073106279,0.880311996390124,0.881597553355914,1.08284310891602,0.88469605191409,0.858575057151735,0.766321185329516
286,0.838663026428448,1.04702405096683,1.0781851978774,1.17841300233124,1.27914450682618,1.13623453255856,0.99899928195231,1.09936025858726,0.68999050656021,1.08318463407561,1.32435984050329,1.12190222235202,1.13744717572621,0.817992780534085,1.16248990471017,0.755670104690379,1.0927328104792,1.10592969266037,0.956510817871257,0.968397503599418,0.977492098199283,0.970507871586055,1.34567368100665,1.30608466784832,1.31454618714213,1.11243712180505,0.899051696147493,0.973196602796982,1.0201279025711,0.851951406379492,0.609765570054509,0.538784605665621,0.973003130080121,0.79139433404034,0.89985671301757,0.557554633178915,0.65017669466436,1.11080293822289,0.878486430735512,0.881855935507815,1.08134313938415,0.875831371895513,0.85911100420527,0.776366350715087
287,0.833522138560392,1.03703945334328,1.07475829984319,1.17133341128496,1.27399721966224,1.13400766023649,0.991948768434494,1.09428303863425,0.684014507923371,1.08230557661631,1.32924289747002,1.12469904655252,1.13645894318012,0.817213000237183,1.16605993873705,0.748572626981056,1.08899424377558,1.10599040292186,0.960541802627676,0.964259756427834,0.973982550101458,0.967787606335992,1.34290575255656,1.30534168105265,1.31648638952829,1.10309922194176,0.899272272964694,0.970462802084979,1.00315633568632,0.85002903121792,0.607761469739952,0.531971866984127,0.973390051454853,0.789243593034409,0.896195987465756,0.55077066111603,0.645403080399932,1.11473248906899,0.873092245213692,0.878861051474422,1.08654095047028,0.886470960037944,0.856788566973284,0.772883353671849
288,0.830951694626365,1.04123752279864,1.06963872187088,1.1671587363067,1.27194031153629,1.1382979647102,0.994504714963226,1.09721940316929,0.685754971884813,1.08157939871514,1.32721550166611,1.12473274322964,1.13776660442798,0.813796819888854,1.16574950099558,0.75454401288497,1.09004571566097,1.10443622022769,0.958089719912347,0.971401290904737,0.977215588349151,0.970440106971285,1.34930528637914,1.31103791315272,1.31652480937752,1.09726428558561,0.90003988028855,0.972548590776359,1.02355144127848,0.848162539055231,0.613699083715378,0.533778075695051,0.972422748018024,0.787816970859621,0.894520232989721,0.553312288532347,0.645778626976679,1.10913963627745,0.876753690453168,0.880070749731048,1.08696802512866,0.899713746762025,0.858715424237185,0.772025223965544
289,0.830890493580316,1.03899098833334,1.06710489423347,1.16850157486645,1.26874959551654,1.13812430952912,0.994807962856465,1.09759376040084,0.68691122416689,1.08457010507125,1.32873604851904,1.13075321620743,1.13853522974161,0.811243967726379,1.16962997276394,0.752240173686747,1.08724179063325,1.10273633290593,0.958986823344785,0.973440005983448,0.971844916260055,0.968397487868924,1.35033545523838,1.30838117248945,1.31991536107214,1.09209991652938,0.897728235244293,0.969814790064356,1.02314437417608,0.843423660749961,0.61769483651645,0.52900828181766,0.973503851859186,0.787427892084678,0.89417111747388,0.552877660795728,0.644969115466802,1.10831838094189,0.874484625797718,0.879225135415737,1.08986379964157,0.904644047106062,0.851965043491465,0.772416430155183
290,0.833411976677505,1.03482695727897,1.06583798041476,1.16527693533182,1.26825794430595,1.1367963581444,0.993865728331043,1.09649408603314,0.680777001533556,1.08349039319189,1.33026895754151,1.12868648667774,1.14136017732286,0.81061271700984,1.16669051539941,0.7544200394752,1.08090959327899,1.09920299568714,0.954226194463317,0.967697826235127,0.968218383225636,0.964815643945353,1.35100142298577,1.31027241160568,1.3243336437337,1.09074877346235,0.896554766576789,0.96860989271351,1.05081449952144,0.843043656357557,0.619835862939455,0.526868888975595,0.975916420431042,0.788670782615744,0.892226045314196,0.549514020051456,0.644593568890055,1.10663428772213,0.874268033262425,0.881808956934742,1.09672824354089,0.914277853978308,0.850101989448224,0.77777974081959
291,0.833999506719569,1.04028444757093,1.06283684849995,1.16490240212808,1.2666124178052,1.14026946176598,0.993833237485339,1.10236681510321,0.685243786665368,1.08493319402184,1.33002171415079,1.12831582322948,1.1392938729083,0.809730822626439,1.17261793602557,0.811964363843362,1.07971792514221,1.10104858763648,0.95761126474838,0.968095918528603,0.969313787631927,0.965919239100183,1.35505966394643,1.31243382773851,1.33593643820143,1.08674538659706,0.899545788218022,0.973399106553427,1.0324651670593,0.842406590170292,0.622785998185107,0.529402841972959,0.979910814623124,0.786973966847246,0.892485388268821,0.549013253311438,0.6432749831317,1.10089589601036,0.871462644233868,0.879084199696519,1.09100960970064,0.897159851183814,0.854427847808902,0.78048032548355
292,0.831979872199976,1.03292080682356,1.06463337383304,1.1604993532451,1.26476621734094,1.13686786321896,0.994342260734705,1.10212114317,0.682480952265037,1.08150295893607,1.32994754113357,1.12573241131737,1.14034199833598,0.808013449353502,1.17121126500954,1.47688541602635,1.08169235568256,1.0974181139993,0.95604432408639,0.953113172210504,0.963762320640822,0.963963745931098,1.35750501426888,1.31480913400949,1.33560026452066,1.08186125462141,0.895363651763909,0.97128294229858,1.04871653830136,0.842529532767835,0.616288231947849,0.527605401265486,0.974471155296015,0.783547912079005,0.886889565286347,0.544459110505992,0.638251004482774,1.0978187874113,0.869482369625476,0.878802328258082,1.09732198148058,0.902366248347117,0.847792312860369,0.785477669067327
293,0.836214984586516,1.04200905988773,1.07091602022908,1.16879389346449,1.26305045495296,1.1395033359671,0.998143689682099,1.1085554080874,0.685706287578199,1.08339484346805,1.32620180376416,1.1295176713799,1.14631132220024,0.812757112826318,1.18367728056538,1.44804093601991,1.07851457398448,1.09477114659828,0.953975005502234,0.952727143319861,0.966325354251658,0.968842798194557,1.3633426378046,1.31695929276663,1.33977842312452,1.0801498067365,0.893219645100724,0.972882721974493,1.05597068281853,0.842060115577218,0.623146985198288,0.529928922180024,0.976804063584838,0.784931303278799,0.892585135559061,0.546603903901918,0.635755706117278,1.09517829557291,0.868739766647328,0.881209980128064,1.09372830447715,0.889724958265008,0.843300566125977,0.782133487123638
