Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean(background)
271,,-0.0587026208828235,-0.0282389639475093,-0.0850023003379727,-0.0668070181800678,-0.092349316567938,-0.107872170807688,-0.042558695568725,-0.0319374783190793,-0.0833746797376629,-0.0348354190270793,-0.0655716034509835,-0.0643368377410598,-0.0553078429755236,-0.0883044174027931,-0.0823985471198871,-0.0614003505398516,-0.0824637983661201,-0.0488730892882625,-0.0619547832364818,-0.0526341892541895,-0.0566034343199859,-0.0815738318490656,-0.0539619017983048,-0.094843009353446,-0.0422559792966683,-0.043795014737885,-0.0280279767194946,-0.0578828912986127,-0.0820007628914663,-0.0614870331316349,-0.0583110924112358,-0.0521397258019262,-0.072461053042276,-0.0694037891937735,-0.119231142931375,-0.0755081049008942,-0.0330867831097592,-0.0670929994619792,0.088958898295816,-0.102507823625643,0.0484132479397437,-0.0881722897956193,0.0100093675849718,-0.0988275761714447
272,,-0.0577057755563984,-0.0241771338605723,-0.0842752338102408,-0.0564139658920003,-0.0871995126391,-0.105548192781358,-0.0350529187629006,-0.029145630304348,-0.082401605951198,-0.0302134915568839,-0.0601364284646363,-0.0564701475728522,-0.0456383508076211,-0.084398928496952,-0.0775886474269456,-0.0567683628776166,-0.0748868546775466,-0.03936940566827,-0.0569223549952512,-0.0426724525014718,-0.0523698905736077,-0.0741789481722616,-0.0480240860972462,-0.0876035506846371,-0.0324111371171614,-0.0421491431367972,-0.0257879642455745,-0.0549805079194006,-0.0749741462382179,-0.0557934053723091,-0.0532690338776678,-0.0450139641849279,-0.0656092889283648,-0.0670828882282731,-0.113397272948597,-0.0685174915927891,-0.0273958612811313,-0.0624146204819201,0.0544429724636326,-0.094288631831176,0.0584479768536642,-0.0833997689230793,0.0176017903399864,-0.0930650843421822
273,,-0.0527998859456042,-0.0195778621469337,-0.0842852332775061,-0.0618333246479055,-0.0895964033833389,-0.103692673030187,-0.0377021072092861,-0.0239549313439658,-0.0834778189377463,-0.0357597762662739,-0.062386505062688,-0.0591542169897654,-0.0555750467350023,-0.0893810712199602,-0.0756121854854183,-0.0593927643859913,-0.0770489023881295,-0.0463645062997876,-0.0623309419740015,-0.0480394528997276,-0.0532165719752929,-0.0794433439386591,-0.0510243235728416,-0.0876491032652822,-0.0358704497136079,-0.0436193817852682,-0.0203857875433464,-0.052798019532506,-0.0789528534727922,-0.0580890719585602,-0.0574381582025878,-0.0645887475172864,-0.067807495819237,-0.0709862690778707,-0.122711117134937,-0.0718665932371138,-0.0274957777896587,-0.0631259353074904,0.0222227538115951,-0.0981396003349088,0.059408169252276,-0.0847266787234419,0.0210654352035276,-0.0931635779531942
274,,-0.0563461840573138,-0.0226200359494279,-0.0846237678732089,-0.0598783166546895,-0.0875830306486397,-0.109997917310838,-0.0393715068639703,-0.0226042923058147,-0.0811901660134294,-0.034190078377738,-0.0649782097564504,-0.0628229791817899,-0.0515905935553738,-0.0860779105946057,-0.0798170488047872,-0.0578042184729745,-0.0725479375483098,-0.0447371660888713,-0.0582705158118312,-0.046413991669843,-0.0527404504247973,-0.0740185582525714,-0.0496391541922605,-0.0906509887501912,-0.0337722603805039,-0.0404311423489071,-0.0229660268229138,-0.055297879428644,-0.0797376836187317,-0.0570323839449633,-0.0585586448383911,-0.0630316206686748,-0.0702567297563681,-0.072698523934103,-0.122351038216581,-0.0730032062879464,-0.0303611068281467,-0.0633994515962478,0.0230812724058235,-0.0972429665751176,0.0581625530783162,-0.0851791521512919,0.0167998569020538,-0.0941593893995286
275,,-0.0601409532023182,-0.0230517141479018,-0.0841457670235436,-0.0657129421950979,-0.0891992021327991,-0.11032825658395,-0.0382814813144278,-0.0268476323469046,-0.0794244483744723,-0.026585710791902,-0.063350016778621,-0.0626649787535609,-0.0547975517824338,-0.0827747499692513,-0.0844556120628926,-0.060463450001368,-0.0755354182026615,-0.0457890893218391,-0.0586050515832713,-0.0483539590906921,-0.0613553516441724,-0.0754228852078971,-0.0495902710893203,-0.0906206696624242,-0.0395225110941943,-0.0425966351993117,-0.0232844115140467,-0.0553263115283806,-0.0814897309495178,-0.0577337207421702,-0.0493344605526947,-0.0300472511810607,-0.069641267505895,-0.0713919834855908,-0.124658796573814,-0.0722031466975232,-0.0292679280828327,-0.0613566313061223,0.000143805817196991,-0.0939743690478262,0.0584567167595369,-0.0857139742619192,0.0150596318588932,-0.0980860013585347
276,,-0.0580857504897628,-0.0237920581454947,-0.0819645674403477,-0.0600505298391047,-0.0877953790584994,-0.106418985558428,-0.0359704364089514,-0.0252752485686687,-0.081905391799686,-0.0295507741781492,-0.0611759969865943,-0.0597115463825535,-0.0471447232260358,-0.0863151372365706,-0.078818834219997,-0.0598932096736223,-0.0750735007977344,-0.0434334192331692,-0.0585161618591012,-0.0463997474367987,-0.051290481176821,-0.0755994090248344,-0.0505997812303386,-0.0891878339439536,-0.0386719080693916,-0.0438191117083639,-0.0258538094521033,-0.0564260709192109,-0.0766897742000576,-0.0575242834133353,-0.0545067960134446,-0.0430853497283366,-0.0674180853352936,-0.0683569476849075,-0.11841885812705,-0.0743052766886311,-0.0302263491163577,-0.0633448345758969,0.0305473801510611,-0.0955570011284282,0.0625830298540698,-0.0823816666831314,0.0185402293594494,-0.0953523932629098
277,,-0.0566532059570676,-0.0217991967532412,-0.0821039021223725,-0.0623095222247174,-0.0855971534831199,-0.106358873037295,-0.0379642350723967,-0.0303450557771735,-0.0876856436364536,-0.0350970588875392,-0.0654528745095646,-0.0625257110007966,-0.0480921869646384,-0.088322557512195,-0.0765500579324897,-0.0603121149143881,-0.0739532431661587,-0.0438110147652585,-0.0588872411838115,-0.0455943008046631,-0.0623607858086736,-0.0746323242427974,-0.0481285181807997,-0.0910375940937175,-0.04115572699049,-0.037962092360324,-0.0245581097100714,-0.0564431013139771,-0.0815445776485684,-0.0579069171333519,-0.0577769832752989,-0.0634806284025,-0.072862951166084,-0.0617916154550935,-0.121575722500383,-0.0729479464330299,-0.0320334845847078,-0.0608459621658413,0.076122701406387,-0.0949439094215284,0.0597715338320499,-0.0847060915527477,0.0164416403112127,-0.0963793943527313
278,,-0.0587610371495894,-0.0240798436111439,-0.0811777672528999,-0.0596453065917952,-0.0910003555448178,-0.105740413052425,-0.0382814813144278,-0.0264645228256877,-0.0814028110308851,-0.0321495135049081,-0.0609197131616712,-0.0609467402454292,-0.0532913076423481,-0.0862421935572157,-0.0816522719714111,-0.0587177639980349,-0.0755059611279109,-0.042444451905885,-0.0579570031656311,-0.0453798279775772,-0.0569843862555632,-0.0760849173108955,-0.0508225696752529,-0.0928948970409258,-0.0385697248098546,-0.0387532492702702,-0.0236688008432013,-0.0555983648685007,-0.0829134235714368,-0.0563672880854097,-0.0484745277712555,-0.0394873247711317,-0.0683035609416162,-0.0698014578512121,-0.122406491848771,-0.0746750182834802,-0.027805173433499,-0.0621044532979272,0.0277125296180021,-0.0952542034980726,0.0636296635135041,-0.085950652670333,0.0180455071870779,-0.0946418028984638
279,,-0.0541068489647221,-0.020165991539667,-0.0781399027833372,-0.0595237128348363,-0.0886992474875795,-0.0970510782243119,-0.0346941584237692,-0.0214553592440786,-0.0817057346815002,-0.0274404198393002,-0.0604781820666273,-0.0571202360069063,-0.0466344320329459,-0.0816067568688291,-0.0796154678921651,-0.0505246092890193,-0.067398409183375,-0.0400528269999693,-0.0560862272088512,-0.0437305724038574,-0.0438080436797903,-0.0717554741110094,-0.0479406885610184,-0.090279616899543,-0.0350539077753176,-0.0226286563534114,-0.0176406961002179,-0.0513638582376661,-0.0783871199288804,-0.0564219888265118,-0.0521878141785856,-0.0458626255953706,-0.0653330317525831,-0.0625464260278113,-0.118326435406733,-0.071292728504716,-0.0243207651635018,-0.0622685918169818,0.0584155577672378,-0.091472172901445,0.0686298474705641,-0.0863311450553237,0.0211336879942927,-0.0939207475878479
280,,-0.0536975312982815,-0.01808839835942,-0.0825223008842593,-0.0590578266228767,-0.0903838351767391,-0.102719828763752,-0.0331694971076245,-0.020578399665574,-0.0815251774151814,-0.017969819771459,-0.0590400055975802,-0.0566652257794144,-0.04923412065013,-0.0833405425364361,-0.0791415398616162,-0.0519153800883648,-0.0685580275613851,-0.0452676745207656,-0.0538967180982611,-0.0401557555086172,-0.045882358418738,-0.071903933081475,-0.0486992654402779,-0.0892789391052436,-0.0394658746363887,-0.0361882965736745,-0.0172014623375383,-0.0530702171980055,-0.0811612311435634,-0.060093182237399,-0.0469372074994885,-0.018117271748571,-0.0666330205474747,-0.0605825179822146,-0.118954170523128,-0.073737050716939,-0.0240611838020109,-0.0616484011779971,0.0754839509237568,-0.0943192055724935,0.0747543664420084,-0.0818364769325862,0.0240682631687273,-0.0951398112191425
281,,-0.0547704254512568,-0.0175216032204494,-0.0828708349472276,-0.0604355320981975,-0.0898908512391989,-0.0985763984989316,-0.0344251582945846,-0.0218988487242485,-0.0785351592715318,-0.018719703345606,-0.0602408496900702,-0.0533124644438478,-0.0475576511673521,-0.0822454931153686,-0.0725165310479569,-0.0527009455398685,-0.0696880618944945,-0.0436762891270954,-0.0468106550391008,-0.0434923052329362,-0.0432576734211044,-0.0737777700045836,-0.0470496829119758,-0.0930615780746496,-0.0347249146451286,-0.0347740146485969,-0.0216154826473567,-0.0533989904122196,-0.0803216993956604,-0.0556203447149763,-0.0474974508173903,-0.0216451352825474,-0.0669973283267922,-0.0586268046822749,-0.118243476772976,-0.0718390438633799,-0.0259231725697108,-0.0617577789476998,0.100457513729044,-0.0951008938240624,0.07107797891281,-0.0860638080545808,0.0222084851810513,-0.100119278840861
