 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
193,117.151,182.619,151.921,158.803,119.908,151.579,151.098,136.979,139.240,141.936,239.334
194,116.150,181.861,152.245,160.008,114.945,150.569,150.785,134.029,138.800,142.018,239.909
195,115.813,182.126,152.014,160.228,116.625,150.728,151.706,140.305,138.347,142.591,239.808
196,114.652,183.957,151.577,159.985,124.703,150.650,153.136,148.435,137.926,143.398,239.525
197,115.715,183.862,151.417,159.821,126.180,151.573,156.925,146.566,138.032,143.646,240.097
198,116.192,185.091,151.522,159.788,123.714,153.744,162.332,149.507,138.165,143.534,240.709
199,115.576,185.242,151.013,159.484,124.520,154.136,159.014,141.293,138.282,144.199,240.339
200,116.984,185.457,151.030,160.004,130.258,153.798,158.170,140.506,138.477,144.989,240.229
201,117.265,184.800,150.640,160.122,128.798,152.980,158.098,139.049,138.304,144.426,239.960
202,117.723,184.397,150.988,160.933,122.901,151.322,161.627,143.170,138.869,145.001,240.182
203,117.463,182.544,150.660,160.332,125.686,148.650,159.554,141.723,138.582,145.886,239.829
204,116.538,183.330,150.888,160.837,126.373,147.274,159.546,153.565,138.708,145.686,239.501
205,116.077,187.982,151.511,161.419,122.399,148.437,160.539,147.067,139.230,147.004,239.882
206,114.696,187.262,151.055,161.006,121.617,148.337,161.012,151.883,138.964,147.243,239.510
207,114.357,186.535,150.817,160.904,127.154,151.564,166.528,146.509,139.281,145.975,240.251
208,114.208,183.830,150.906,160.807,126.778,155.806,163.922,145.636,139.877,145.748,239.852
209,115.215,186.274,150.798,162.329,126.592,155.469,164.168,155.830,139.807,145.893,239.844
210,115.205,182.973,150.619,162.620,125.113,157.402,164.064,154.027,140.336,146.564,239.791
211,114.755,181.759,150.709,162.209,126.318,155.608,167.744,146.201,140.499,147.364,239.550
212,115.040,183.191,151.527,161.856,125.111,154.632,166.044,148.418,140.662,147.009,239.674
213,115.056,187.224,151.641,160.489,123.555,155.123,166.093,142.891,140.183,148.337,239.754
214,113.787,185.723,151.801,161.277,128.331,155.652,170.018,150.444,139.926,151.911,239.621
215,113.429,185.628,152.155,162.811,125.679,155.810,168.430,151.932,140.235,152.162,239.938
216,113.718,184.764,152.400,161.818,122.365,156.702,166.147,148.993,140.230,152.599,239.040
217,112.806,187.455,152.886,161.243,120.274,157.903,165.522,148.696,140.343,151.795,239.354
218,112.588,187.775,153.633,161.047,123.362,159.678,174.996,158.867,140.493,152.421,240.276
219,111.456,187.314,153.597,161.298,124.974,158.430,171.906,154.034,141.335,154.835,239.507
220,111.610,184.415,154.210,162.193,122.875,158.252,176.324,153.152,141.536,155.428,240.165
221,110.824,185.781,154.302,162.081,120.966,158.036,172.132,155.043,140.958,155.418,239.733
222,111.458,187.536,154.952,162.710,127.881,159.834,170.707,153.236,141.178,155.906,240.222
223,111.820,186.021,155.030,163.043,131.106,160.742,170.497,160.619,141.345,156.294,240.256
224,112.189,185.619,155.526,164.700,135.052,161.749,181.081,163.015,141.189,154.711,241.291
225,112.443,184.250,155.451,165.008,131.409,161.354,181.320,159.326,141.800,156.514,241.318
226,111.899,185.293,155.465,165.585,131.540,160.240,178.561,152.597,142.016,157.509,240.252
227,111.581,183.199,155.582,164.950,125.210,158.630,177.214,154.971,142.225,159.868,240.262
228,110.932,181.507,155.545,165.273,129.382,159.207,177.398,161.816,141.625,158.423,240.424
229,110.858,185.641,155.974,166.615,125.870,160.426,177.438,166.854,141.967,161.525,240.477
230,111.364,188.164,156.027,166.394,131.621,160.059,178.805,166.583,142.302,161.623,240.201
231,111.318,185.891,156.020,167.070,130.668,157.499,181.511,166.879,142.271,163.952,240.644
232,110.999,184.201,155.508,166.608,136.573,156.094,179.941,167.279,142.213,165.381,239.744
233,110.901,183.875,155.126,166.904,132.464,155.600,179.414,167.070,141.844,164.437,239.900
234,110.996,182.667,154.972,166.962,133.059,155.671,182.434,169.648,141.576,163.561,239.781
235,111.308,176.914,153.258,166.953,125.100,160.239,181.525,166.810,143.083,168.373,241.481
236,111.130,177.888,152.286,164.688,121.867,159.491,180.989,165.021,141.918,168.646,239.768
237,110.705,177.073,152.109,166.034,120.401,160.321,181.673,165.891,143.065,170.884,239.796
238,110.958,175.703,151.616,166.095,126.145,160.859,181.066,167.420,143.239,174.358,239.309
239,110.373,176.395,151.376,165.593,127.830,160.710,180.763,165.706,144.147,177.653,239.126
240,110.720,175.188,151.390,166.354,130.546,160.899,181.043,166.537,143.804,178.118,238.622
241,110.903,174.326,150.854,166.185,133.761,162.178,181.405,168.326,143.040,181.076,238.545
